Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
vert.x,io.vertx.core,DeploymentOptionsConverter,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: HttpUtils; ContextInternal; VertxImpl; VertxMetrics; HttpServerOptions; KeyCertOptions; Vertx; VertxOptions; ClusterManager; VertxBuilder; Transport; ClientOptionsBase; PemKeyCertOptions; KeyStoreHelper; VertxInternal; CloseFuture; Promise; Future; Context; SucceededFuture; CompositeFutureImpl; Closeable; NestedCloseable; Deployment; EventLoopContext; WorkerContext; HAManager; DeploymentManager; Verticle; ContextBase; DeploymentOptions; DeploymentOptionsConverter; VerticleManager; LoaderManager; VerticleFactory; JavaVerticleFactory; AddressResolver; ResolverProvider; AddressResolverOptions; AddressResolverOptionsConverter; SharedResourceHolder; PemKeyCertOptionsConverter; TrustOptions; PemTrustOptions; PemTrustOptionsConverter; ClientOptionsBaseConverter; NetServerOptions; NetServerOptionsConverter; NodeSelector; VertxTracer; VertxThreadFactory; ExecutorServiceFactory; MetricsOptions; VertxMetricsFactory; BareCommand; MetricsOptionsConverter; TracingOptions; VertxTracerFactory; TracingOptionsConverter; JDKTransport; VertxServiceProvider; FileSystemOptions; FileResolverImpl; FileCache; FileSystemImpl; FileSystemOptionsConverter; VertxOptionsConverter; NetClientOptions; NetClientOptionsConverter; WorkerExecutor; HttpServerOptionsConverter; HttpServerMetrics; ServerWebSocket; EventBusInternal; DatagramSocketImpl; HttpClientImpl; NetClientInternal; HttpChannelConnector; NetSocketImpl; SslChannelProvider; SslContextProvider; SSLHelper; SSLOptions; SSLOptionsConverter; TCPSSLOptions; TCPSSLOptionsConverter; InboundBuffer; VertxHttp2ConnectionHandler; ConnectionBase; SslHandshakeCompletionHandler; Http2ClientConnection; HttpClientStream; HttpClientConnection; HttpClientPush; VertxHttp2ConnectionHandlerBuilder; DnsResolverProvider; WorkerExecutorImpl; VertxThread
vert.x,io.vertx.core,AbstractVerticle,Wide Hierarchy,The tool detected the smell in this class because the number of children for the class is large. This class has following sub-classes: AbstractVerticleTest.MyAbstractVerticle; CustomerLauncherLowMemoryTest.Verticle; DeploymentTest.ParentVerticle; DeploymentTest.ChildVerticle; DeploymentTest.ParentVerticle; DeploymentTest.MultiInstanceVerticle; DeploymentTest.NoDefaultPublicConstructorVerticle; DeploymentTest.MyVerticle; DeploymentTest.MyAsyncVerticle; SharedServersConcurrencyTest.ApiVerticle; SharedServersConcurrencyTest.NetVerticle; SharedServersConcurrencyTest.RestVerticle; SharedServersConcurrencyTest.MonitorVerticle; TimerTest.MyVerticle; VerticleFactoryTest.TestVerticle
vert.x,io.vertx.core,CompositeFuture,Rebellious Hierarchy,The tool detected the smell in this class because method(s) of this class reject the methods provided by its supertypes. The method(s) that reject the suptertype's method are: onComplete
vert.x,io.vertx.core,DeploymentOptions,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: DEFAULT_WORKER; DEFAULT_HA; DEFAULT_INSTANCES; config; worker; workerPoolName; workerPoolSize; maxWorkerExecuteTime; ha; instances; maxWorkerExecuteTimeUnit; classLoader
vert.x,io.vertx.core,DeploymentOptions,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 24 public methods
vert.x,io.vertx.core,Future,Cyclic Hierarchy,The tool detected the smell in this class because the class depends on one of its subclasses (creating cycle in the hierarchy). The class is dependent on the following subclass: CompositeFuture
vert.x,io.vertx.core,Future,Rebellious Hierarchy,The tool detected the smell in this class because method(s) of this class reject the methods provided by its supertypes. The method(s) that reject the suptertype's method are: result
vert.x,io.vertx.core,Future,Insufficient Modularization,The tool detected the smell in this class because the class contains large number of methods. Total methods in the class: 47 methods
vert.x,io.vertx.core,MultiMap,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: HttpHeaders; HeadersMultiMap; MultiMap
vert.x,io.vertx.core,MultiMap,Insufficient Modularization,The tool detected the smell in this class because the class contains large number of methods. Total methods in the class: 30 methods
vert.x,io.vertx.core,Vertx,Insufficient Modularization,The tool detected the smell in this class because the class contains large number of methods. Total methods in the class: 49 methods
